id,label
51375,short sleeves
51383,short sleeves
51396,short sleeves
51397,short sleeves
51398,short sleeves
51399,short sleeves
51400,short sleeves
51401,short sleeves
51403,short sleeves
51408,short sleeves
51410,short sleeves
51413,short sleeves
51414,short sleeves
51418,short sleeves
51421,short sleeves
51422,short sleeves
51425,short sleeves
51427,short sleeves
51430,short sleeves
51437,short sleeves
51440,short sleeves
51444,short sleeves
51455,short sleeves
51457,short sleeves
51477,short sleeves
51479,short sleeves
51492,short sleeves
51495,short sleeves
51499,short sleeves
51500,short sleeves
51502,short sleeves
51509,short sleeves
51511,short sleeves
51513,short sleeves
51514,short sleeves
51515,short sleeves
51520,short sleeves
51533,short sleeves
51534,short sleeves
51540,short sleeves
51541,short sleeves
51542,short sleeves
51550,short sleeves
51554,short sleeves
51560,short sleeves
51561,short sleeves
51562,short sleeves
51564,short sleeves
51567,short sleeves
51570,short sleeves
51571,short sleeves
51577,short sleeves
51582,short sleeves
51584,short sleeves
51587,short sleeves
51590,short sleeves
51595,short sleeves
51605,short sleeves
51606,short sleeves
51609,short sleeves
51618,long sleeves
51619,short sleeves
51628,short sleeves
51630,short sleeves
51636,short sleeves
51637,short sleeves
51643,short sleeves
51644,short sleeves
51645,short sleeves
51648,short sleeves
51651,short sleeves
51655,short sleeves
51657,short sleeves
51659,short sleeves
51666,short sleeves
51667,short sleeves
51674,short sleeves
51679,short sleeves
51682,short sleeves
51683,short sleeves
51685,three-quarter sleeves
51686,short sleeves
51689,short sleeves
51698,short sleeves
51699,short sleeves
51704,short sleeves
51709,short sleeves
51710,short sleeves
51711,short sleeves
51714,short sleeves
51735,short sleeves
51738,short sleeves
51740,short sleeves
51742,short sleeves
51745,short sleeves
51750,short sleeves
51751,short sleeves
51756,short sleeves
51769,short sleeves
51773,short sleeves
51774,short sleeves
51779,short sleeves
51781,short sleeves
51784,short sleeves
51789,short sleeves
51793,short sleeves
51794,short sleeves
51795,short sleeves
51797,short sleeves
51799,short sleeves
51800,short sleeves
51803,short sleeves
51805,short sleeves
51810,short sleeves
51813,short sleeves
51814,short sleeves
51816,short sleeves
51818,short sleeves
51821,short sleeves
51824,short sleeves
51837,short sleeves
51838,short sleeves
51840,short sleeves
51844,short sleeves
51845,short sleeves
51851,three-quarter sleeves
51860,short sleeves
51863,short sleeves
51864,short sleeves
51870,short sleeves
51874,short sleeves
51875,short sleeves
51877,short sleeves
51879,short sleeves
51882,short sleeves
51885,short sleeves
51888,short sleeves
51900,short sleeves
51905,short sleeves
51906,short sleeves
51912,short sleeves
51913,short sleeves
51914,short sleeves
51918,short sleeves
51919,short sleeves
51920,short sleeves
51922,short sleeves
51924,short sleeves
51925,short sleeves
51931,short sleeves
51932,short sleeves
51936,short sleeves
51937,short sleeves
51938,short sleeves
51939,short sleeves
51944,short sleeves
51948,short sleeves
51951,short sleeves
51953,short sleeves
51954,short sleeves
51960,short sleeves
51961,short sleeves
51962,short sleeves
51978,short sleeves
51980,short sleeves
51984,short sleeves
51990,short sleeves
51995,short sleeves
52000,short sleeves
52003,short sleeves
52007,short sleeves
52008,short sleeves
52015,short sleeves
52017,short sleeves
52021,short sleeves
52024,short sleeves
52025,short sleeves
52035,short sleeves
52036,short sleeves
52037,short sleeves
52054,short sleeves
52061,short sleeves
52064,short sleeves
52065,short sleeves
52074,short sleeves
52075,short sleeves
52078,short sleeves
52079,short sleeves
52080,short sleeves
52087,short sleeves
52090,short sleeves
52092,short sleeves
52095,short sleeves
52097,short sleeves
52099,short sleeves
52100,short sleeves
52101,short sleeves
52104,short sleeves
52108,short sleeves
52109,short sleeves
52111,short sleeves
52112,short sleeves
52115,short sleeves
52127,short sleeves
52129,short sleeves
52130,short sleeves
52131,short sleeves
52134,short sleeves
52136,short sleeves
52137,short sleeves
52138,short sleeves
52139,short sleeves
52141,short sleeves
52142,short sleeves
52144,short sleeves
52146,short sleeves
52149,short sleeves
52151,short sleeves
52155,three-quarter sleeves
52165,long sleeves
52168,short sleeves
52170,short sleeves
52172,short sleeves
52173,short sleeves
52175,short sleeves
52176,short sleeves
52178,short sleeves
52181,short sleeves
52182,short sleeves
52187,short sleeves
52188,short sleeves
52189,short sleeves
52190,short sleeves
52195,short sleeves
52196,short sleeves
52197,short sleeves
52201,short sleeves
52202,short sleeves
52204,short sleeves
52206,short sleeves
52209,short sleeves
52212,short sleeves
52216,short sleeves
52217,short sleeves
52223,short sleeves
52225,short sleeves
52226,short sleeves
52230,short sleeves
52231,short sleeves
52233,short sleeves
52234,short sleeves
52235,short sleeves
52238,short sleeves
52241,short sleeves
52251,short sleeves
52257,short sleeves
52260,short sleeves
52263,short sleeves
52268,short sleeves
52270,short sleeves
52272,short sleeves
52277,short sleeves
52279,long sleeves
52280,short sleeves
52281,short sleeves
52282,short sleeves
52283,short sleeves
52285,short sleeves
52289,short sleeves
52292,short sleeves
52293,short sleeves
52295,short sleeves
52296,short sleeves
52298,short sleeves
52308,short sleeves
52309,short sleeves
52311,short sleeves
52318,short sleeves
52319,short sleeves
52329,short sleeves
52332,short sleeves
52333,short sleeves
52337,short sleeves
52338,short sleeves
52340,short sleeves
52342,short sleeves
52345,long sleeves
52346,short sleeves
52349,short sleeves
52350,short sleeves
52351,short sleeves
52364,short sleeves
52365,three-quarter sleeves
52366,short sleeves
52369,short sleeves
52375,short sleeves
52381,short sleeves
52388,short sleeves
52394,short sleeves
52395,short sleeves
52402,short sleeves
52406,short sleeves
52407,short sleeves
52410,short sleeves
52411,short sleeves
52412,short sleeves
52422,three-quarter sleeves
52429,short sleeves
52432,short sleeves
52443,short sleeves
52454,short sleeves
52455,short sleeves
52456,short sleeves
52457,short sleeves
52459,short sleeves
52460,short sleeves
52472,short sleeves
52476,short sleeves
52493,short sleeves
52494,short sleeves
52496,short sleeves
52497,three-quarter sleeves
52499,short sleeves
52502,short sleeves
52508,short sleeves
52517,short sleeves
52520,short sleeves
52526,short sleeves
52529,short sleeves
52532,short sleeves
52533,short sleeves
52543,short sleeves
52544,short sleeves
52549,short sleeves
52551,short sleeves
52555,short sleeves
52558,short sleeves
52559,short sleeves
52563,short sleeves
52565,short sleeves
52566,short sleeves
52568,short sleeves
52571,short sleeves
52572,short sleeves
52575,short sleeves
52576,short sleeves
52577,three-quarter sleeves
52578,short sleeves
52581,short sleeves
52584,short sleeves
52585,short sleeves
52588,short sleeves
52590,short sleeves
52591,short sleeves
52596,short sleeves
52597,short sleeves
52599,short sleeves
52603,short sleeves
52604,short sleeves
52608,short sleeves
52614,short sleeves
52618,short sleeves
52626,short sleeves
52629,short sleeves
52630,short sleeves
52632,short sleeves
52637,short sleeves
52639,short sleeves
52642,short sleeves
52654,short sleeves
52658,short sleeves
52659,short sleeves
52660,short sleeves
52667,short sleeves
52668,short sleeves
52670,short sleeves
52674,short sleeves
52677,short sleeves
52680,short sleeves
52686,short sleeves
52687,short sleeves
52698,short sleeves
52699,short sleeves
52701,short sleeves
52702,short sleeves
52703,three-quarter sleeves
52704,short sleeves
52718,short sleeves
52721,short sleeves
52723,short sleeves
52731,short sleeves
52736,short sleeves
52739,short sleeves
52741,short sleeves
52751,short sleeves
52752,short sleeves
52761,short sleeves
52767,short sleeves
52769,short sleeves
52771,short sleeves
52781,short sleeves
52782,short sleeves
52784,short sleeves
52787,short sleeves
52791,short sleeves
52794,short sleeves
52806,short sleeves
52811,short sleeves
52812,short sleeves
52826,short sleeves
52835,short sleeves
52843,short sleeves
52848,short sleeves
52853,short sleeves
52854,short sleeves
52862,short sleeves
52864,short sleeves
52893,short sleeves
52898,short sleeves
52902,short sleeves
52905,short sleeves
52908,short sleeves
52911,short sleeves
52916,short sleeves
52917,short sleeves
52918,short sleeves
52930,short sleeves
52934,short sleeves
52936,short sleeves
52938,short sleeves
52941,short sleeves
52942,short sleeves
52944,short sleeves
52945,short sleeves
52949,short sleeves
52951,short sleeves
52953,short sleeves
52955,short sleeves
52957,short sleeves
52958,short sleeves
52962,short sleeves
52975,short sleeves
52984,short sleeves
