id,label
32782,regular
33197,regular
33353,regular
33454,crop
33525,crop
33547,regular
33778,regular
34068,regular
34104,crop
34155,regular
34381,regular
34458,regular
34615,regular
34666,crop
34682,regular
34736,regular
34780,regular
34803,regular
34831,regular
34859,crop
34929,crop
34969,regular
34994,regular
35008,regular
35048,regular
35163,regular
35204,regular
35269,regular
35306,regular
35313,regular
35421,regular
35601,regular
35694,regular
35712,regular
35744,regular
35813,regular
35852,regular
35896,regular
36017,regular
36072,crop
36123,regular
36125,regular
36127,regular
36134,regular
36194,regular
36234,regular
36256,crop
36307,crop
36373,regular
36402,regular
36436,regular
36512,regular
36522,crop
36528,crop
36537,regular
36565,regular
36700,regular
36800,regular
36875,regular
36876,crop
36886,regular
37108,regular
37109,regular
37299,regular
37343,regular
37350,regular
37390,crop
37442,regular
37460,crop
37534,regular
37547,regular
37656,regular
37727,regular
37771,regular
37790,regular
37886,regular
37939,regular
37995,crop
38417,regular
38420,crop
38650,regular
38886,crop
38957,regular
38979,crop
39088,regular
39245,regular
39513,regular
39565,crop
39587,crop
39900,crop
39907,crop
39943,regular
40100,regular
40221,regular
40324,regular
40767,regular
40768,regular
40779,crop
40794,regular
40796,regular
40822,crop
40936,regular
40949,regular
41032,regular
41216,regular
41348,regular
41359,regular
41372,regular
41518,regular
41744,regular
41816,crop
41818,crop
41829,regular
42118,crop
42119,regular
42120,crop
42121,crop
42199,crop
42360,regular
42372,regular
42386,regular
42635,regular
42776,regular
43020,regular
43278,regular
43423,crop
43465,crop
43473,regular
43486,crop
43487,regular
43490,regular
43492,regular
43511,crop
43512,regular
43515,regular
43516,regular
43522,regular
43528,crop
43529,regular
43537,crop
43541,regular
43546,regular
43548,regular
43555,regular
43567,crop
43586,regular
43589,regular
43591,crop
43594,crop
43595,crop
43598,regular
43599,regular
43600,crop
43610,regular
43612,regular
43614,regular
43615,crop
43619,regular
43622,regular
43626,crop
43632,regular
43635,crop
43645,crop
43655,crop
43663,regular
43666,regular
43667,regular
43668,regular
43684,crop
43688,crop
43693,crop
43694,regular
43695,crop
43699,crop
43714,regular
43717,crop
43719,regular
43720,crop
43721,regular
43729,regular
43731,regular
43734,regular
43738,regular
43743,regular
43745,regular
43756,regular
43762,regular
43765,regular
43766,regular
43771,crop
43778,crop
43779,crop
43780,crop
43781,regular
43789,regular
43790,regular
43799,regular
43803,regular
43806,crop
43811,regular
43841,regular
43842,regular
43846,regular
43851,crop
43855,regular
43857,crop
43865,regular
43867,regular
43879,regular
43891,regular
43892,regular
43902,regular
43912,regular
43917,crop
43925,regular
43930,crop
43931,regular
43946,crop
43949,regular
43950,regular
43953,regular
43955,crop
43975,regular
43982,regular
43983,regular
43985,crop
43996,regular
44000,regular
44020,regular
44025,crop
44026,regular
44030,regular
44035,crop
44049,crop
44051,regular
44060,regular
44061,crop
44066,regular
44078,regular
44080,regular
44082,crop
44089,regular
44102,regular
44103,regular
44104,regular
44108,crop
44109,regular
44114,regular
44115,regular
44119,regular
44121,crop
44124,regular
44130,regular
44135,crop
44138,crop
44140,crop
44142,regular
44143,regular
44146,crop
44147,crop
44148,regular
44149,regular
44154,regular
44158,regular
44159,crop
44168,regular
44171,crop
44174,regular
44182,regular
44186,crop
44189,crop
44190,regular
44199,regular
44200,regular
44205,regular
44206,regular
44208,regular
44209,crop
44216,crop
44217,crop
44219,regular
44224,crop
44229,regular
44232,crop
44237,regular
44240,regular
44245,regular
44251,crop
44262,crop
44263,regular
44264,regular
44266,crop
44270,regular
44271,regular
44273,regular
44276,crop
44277,crop
44283,regular
