id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,image_path
25778,Kurtis,9,black,straight,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no attr,./../Data/train_images/025778.jpg
25779,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025779.jpg
25780,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025780.jpg
25781,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025781.jpg
25782,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025782.jpg
25783,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025783.jpg
25784,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025784.jpg
25785,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025785.jpg
25786,Kurtis,9,maroon,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no attr,./../Data/train_images/025786.jpg
25787,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025787.jpg
25788,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no attr,./../Data/train_images/025788.jpg
25789,Kurtis,9,red,a-line,knee length,daily,net,solid,solid,three-quarter sleeves,regular,no attr,./../Data/train_images/025789.jpg
25790,Kurtis,9,maroon,a-line,calf length,daily,net,solid,solid,three-quarter sleeves,regular,no attr,./../Data/train_images/025790.jpg
25791,Kurtis,9,black,a-line,knee length,daily,net,solid,solid,short sleeves,regular,no attr,./../Data/train_images/025791.jpg
25792,Kurtis,9,green,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025792.jpg
25793,Kurtis,9,maroon,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025793.jpg
25794,Kurtis,9,navy blue,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025794.jpg
25795,Kurtis,9,black,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025795.jpg
25796,Kurtis,9,red,straight,knee length,daily,default,default,default,three-quarter sleeves,regular,no attr,./../Data/train_images/025796.jpg
