id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,image_path
0,Men Tshirts,5,default,round,printed,default,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000000.jpg
1,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000001.jpg
2,Men Tshirts,5,default,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000002.jpg
3,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000003.jpg
4,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000004.jpg
5,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000005.jpg
6,Men Tshirts,5,multicolor,round,printed,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000006.jpg
7,Men Tshirts,5,default,round,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000007.jpg
8,Men Tshirts,5,default,round,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000008.jpg
9,Men Tshirts,5,default,round,printed,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000009.jpg
10,Men Tshirts,5,black,round,printed,default,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000010.jpg
11,Men Tshirts,5,black,round,printed,default,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000011.jpg
12,Men Tshirts,5,multicolor,round,printed,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000012.jpg
13,Men Tshirts,5,multicolor,round,printed,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000013.jpg
14,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000014.jpg
15,Men Tshirts,5,multicolor,round,printed,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000015.jpg
16,Men Tshirts,5,multicolor,round,printed,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000016.jpg
17,Men Tshirts,5,multicolor,round,printed,default,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000017.jpg
18,Men Tshirts,5,default,round,printed,default,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000018.jpg
19,Men Tshirts,5,white,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000019.jpg
20,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000020.jpg
21,Men Tshirts,5,black,round,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000021.jpg
22,Men Tshirts,5,default,polo,solid,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000022.jpg
23,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000023.jpg
24,Men Tshirts,5,default,polo,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000024.jpg
25,Men Tshirts,5,default,round,solid,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000025.jpg
26,Men Tshirts,5,default,round,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000026.jpg
27,Men Tshirts,5,default,round,solid,default,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000027.jpg
28,Men Tshirts,5,default,round,solid,solid,long sleeves,no attr,no attr,no attr,no attr,no attr,./../Data/train_images/000028.jpg
