id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,image_path
7432,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no,./../Data/train_images/007432.jpg
7433,Sarees,10,same as saree,zari,small border,cream,traditional,jacquard,woven design,zari woven,elephant,no,./../Data/train_images/007433.jpg
7434,Sarees,10,same as saree,zari,small border,white,party,jacquard,zari woven,zari woven,floral,no,./../Data/train_images/007434.jpg
7435,Sarees,10,same as saree,woven design,big border,default,traditional,jacquard,same as saree,zari woven,ethnic motif,no,./../Data/train_images/007435.jpg
7436,Sarees,10,solid,no border,big border,default,daily,jacquard,zari woven,zari woven,default,yes,./../Data/train_images/007436.jpg
7437,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,peacock,no,./../Data/train_images/007437.jpg
7438,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,floral,yes,./../Data/train_images/007438.jpg
7439,Sarees,10,same as saree,zari,small border,white,party,jacquard,woven design,zari woven,ethnic motif,no,./../Data/train_images/007439.jpg
7440,Sarees,10,same as saree,zari,small border,white,party,jacquard,zari woven,zari woven,floral,no,./../Data/train_images/007440.jpg
7441,Sarees,10,same as saree,solid,small border,white,traditional,jacquard,zari woven,woven design,floral,yes,./../Data/train_images/007441.jpg
7442,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,solid,no,./../Data/train_images/007442.jpg
7443,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no,./../Data/train_images/007443.jpg
7444,Sarees,10,same as saree,solid,big border,cream,party,jacquard,zari woven,woven design,floral,no,./../Data/train_images/007444.jpg
7445,Sarees,10,same as saree,default,small border,default,party,default,woven design,zari woven,default,no,./../Data/train_images/007445.jpg
7446,Sarees,10,same as saree,woven design,small border,multicolor,traditional,jacquard,zari woven,zari woven,default,no,./../Data/train_images/007446.jpg
7447,Sarees,10,same as saree,woven design,small border,multicolor,daily,jacquard,zari woven,zari woven,default,no,./../Data/train_images/007447.jpg
7448,Sarees,10,same as saree,woven design,small border,default,traditional,jacquard,same as saree,zari woven,default,no,./../Data/train_images/007448.jpg
7449,Sarees,10,same as saree,zari,big border,white,traditional,default,default,zari woven,default,no,./../Data/train_images/007449.jpg
7450,Sarees,10,same as saree,zari,small border,cream,party,jacquard,zari woven,zari woven,ethnic motif,yes,./../Data/train_images/007450.jpg
7451,Sarees,10,same as saree,woven design,small border,multicolor,party,jacquard,woven design,zari woven,applique,no,./../Data/train_images/007451.jpg
7452,Sarees,10,same as saree,woven design,small border,multicolor,traditional,jacquard,zari woven,zari woven,default,no,./../Data/train_images/007452.jpg
7453,Sarees,10,same as border,zari,big border,default,party,jacquard,same as saree,zari woven,peacock,no,./../Data/train_images/007453.jpg
7454,Sarees,10,same as saree,woven design,big border,multicolor,traditional,jacquard,same as saree,default,ethnic motif,no,./../Data/train_images/007454.jpg
7455,Sarees,10,same as saree,woven design,big border,multicolor,daily,jacquard,zari woven,zari woven,default,no,./../Data/train_images/007455.jpg
7456,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,zari woven,elephant,yes,./../Data/train_images/007456.jpg
7457,Sarees,10,same as saree,zari,small border,cream,party,jacquard,woven design,woven design,floral,no,./../Data/train_images/007457.jpg
7458,Sarees,10,same as saree,woven design,small border,default,traditional,jacquard,zari woven,default,default,no,./../Data/train_images/007458.jpg
7459,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,default,no,./../Data/train_images/007459.jpg
7460,Sarees,10,same as saree,woven design,big border,multicolor,party,jacquard,woven design,zari woven,default,no,./../Data/train_images/007460.jpg
7461,Sarees,10,same as saree,zari,small border,cream,party,jacquard,zari woven,zari woven,ethnic motif,no,./../Data/train_images/007461.jpg
