id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,image_path
51375,Women Tops & Tunics,10,black,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051375.jpg
51376,Women Tops & Tunics,10,navy blue,fitted,crop,high,casual,default,solid,short sleeves,default,knitted,./../Data/train_images/051376.jpg
51377,Women Tops & Tunics,10,red,regular,regular,round neck,casual,printed,typography,sleeveless,sleeveless,knitted,./../Data/train_images/051377.jpg
51378,Women Tops & Tunics,10,default,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,default,./../Data/train_images/051378.jpg
51379,Women Tops & Tunics,10,default,boxy,regular,round neck,casual,printed,typography,short sleeves,default,knitted,./../Data/train_images/051379.jpg
51380,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051380.jpg
51381,Women Tops & Tunics,10,maroon,regular,regular,round neck,casual,solid,solid,three-quarter sleeves,regular sleeves,knitted,./../Data/train_images/051381.jpg
51382,Women Tops & Tunics,10,white,fitted,regular,sweetheart neck,casual,solid,solid,short sleeves,puff sleeves,ruffles,./../Data/train_images/051382.jpg
51383,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051383.jpg
51384,Women Tops & Tunics,10,green,boxy,crop,round neck,casual,printed,typography,long sleeves,regular sleeves,knitted,./../Data/train_images/051384.jpg
51385,Women Tops & Tunics,10,blue,regular,regular,v-neck,casual,solid,solid,long sleeves,regular sleeves,waist tie-ups,./../Data/train_images/051385.jpg
51386,Women Tops & Tunics,10,pink,fitted,regular,round neck,casual,printed,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051386.jpg
51387,Women Tops & Tunics,10,white,fitted,regular,square neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051387.jpg
51388,Women Tops & Tunics,10,pink,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051388.jpg
51389,Women Tops & Tunics,10,black,fitted,crop,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051389.jpg
51390,Women Tops & Tunics,10,pink,fitted,crop,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051390.jpg
51391,Women Tops & Tunics,10,black,regular,regular,stylised,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051391.jpg
51392,Women Tops & Tunics,10,yellow,regular,crop,v-neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051392.jpg
51393,Women Tops & Tunics,10,red,fitted,crop,stylised,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051393.jpg
51394,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,three-quarter sleeves,puff sleeves,knitted,./../Data/train_images/051394.jpg
51395,Women Tops & Tunics,10,white,fitted,regular,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051395.jpg
51396,Women Tops & Tunics,10,white,default,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051396.jpg
51397,Women Tops & Tunics,10,white,regular,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051397.jpg
51398,Women Tops & Tunics,10,pink,fitted,regular,v-neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051398.jpg
51399,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,short sleeves,default,knitted,./../Data/train_images/051399.jpg
51400,Women Tops & Tunics,10,black,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051400.jpg
51401,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051401.jpg
51402,Women Tops & Tunics,10,blue,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051402.jpg
51403,Women Tops & Tunics,10,white,boxy,crop,high,casual,printed,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051403.jpg
51404,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,typography,short sleeves,regular sleeves,default,./../Data/train_images/051404.jpg
51405,Women Tops & Tunics,10,maroon,default,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051405.jpg
51406,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,graphic,short sleeves,regular sleeves,knitted,./../Data/train_images/051406.jpg
51407,Women Tops & Tunics,10,black,regular,crop,round neck,casual,printed,default,short sleeves,regular sleeves,tie-ups,./../Data/train_images/051407.jpg
51408,Women Tops & Tunics,10,green,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051408.jpg
51409,Women Tops & Tunics,10,white,fitted,regular,high,casual,default,default,short sleeves,regular sleeves,knitted,./../Data/train_images/051409.jpg
51410,Women Tops & Tunics,10,default,fitted,regular,round neck,party,solid,solid,short sleeves,regular sleeves,waist tie-ups,./../Data/train_images/051410.jpg
51411,Women Tops & Tunics,10,green,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051411.jpg
51412,Women Tops & Tunics,10,pink,boxy,crop,round neck,casual,printed,quirky,long sleeves,regular sleeves,knitted,./../Data/train_images/051412.jpg
51413,Women Tops & Tunics,10,white,default,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051413.jpg
51414,Women Tops & Tunics,10,white,fitted,crop,high,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051414.jpg
51415,Women Tops & Tunics,10,maroon,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051415.jpg
51416,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051416.jpg
51417,Women Tops & Tunics,10,white,fitted,regular,high,casual,solid,solid,long sleeves,default,knitted,./../Data/train_images/051417.jpg
51418,Women Tops & Tunics,10,pink,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051418.jpg
51419,Women Tops & Tunics,10,white,boxy,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,default,./../Data/train_images/051419.jpg
51420,Women Tops & Tunics,10,yellow,fitted,crop,v-neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051420.jpg
51421,Women Tops & Tunics,10,peach,regular,regular,round neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051421.jpg
51422,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,default,short sleeves,regular sleeves,knitted,./../Data/train_images/051422.jpg
51423,Women Tops & Tunics,10,maroon,fitted,regular,sweetheart neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051423.jpg
51424,Women Tops & Tunics,10,black,fitted,regular,round neck,casual,solid,solid,long sleeves,regular sleeves,knitted,./../Data/train_images/051424.jpg
51425,Women Tops & Tunics,10,yellow,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051425.jpg
51426,Women Tops & Tunics,10,default,fitted,crop,round neck,casual,printed,quirky,sleeveless,sleeveless,knitted,./../Data/train_images/051426.jpg
51427,Women Tops & Tunics,10,white,regular,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051427.jpg
51428,Women Tops & Tunics,10,yellow,fitted,regular,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051428.jpg
51429,Women Tops & Tunics,10,red,fitted,regular,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051429.jpg
51430,Women Tops & Tunics,10,white,fitted,regular,square neck,casual,solid,solid,short sleeves,regular sleeves,knitted,./../Data/train_images/051430.jpg
51431,Women Tops & Tunics,10,default,fitted,crop,round neck,casual,printed,quirky,short sleeves,regular sleeves,waist tie-ups,./../Data/train_images/051431.jpg
51432,Women Tops & Tunics,10,white,fitted,regular,round neck,casual,solid,solid,short sleeves,puff sleeves,knitted,./../Data/train_images/051432.jpg
51433,Women Tops & Tunics,10,black,regular,regular,v-neck,casual,solid,solid,short sleeves,default,ruffles,./../Data/train_images/051433.jpg
51434,Women Tops & Tunics,10,white,fitted,regular,high,casual,solid,solid,short sleeves,regular sleeves,tie-ups,./../Data/train_images/051434.jpg
