id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,image_path
32601,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032601.jpg
32602,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032602.jpg
32603,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032603.jpg
32604,Women Tshirts,8,multicolor,loose,long,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032604.jpg
32605,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032605.jpg
32606,Women Tshirts,8,black,boxy,crop,solid,quirky,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032606.jpg
32607,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032607.jpg
32608,Women Tshirts,8,multicolor,loose,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032608.jpg
32609,Women Tshirts,8,default,regular,regular,solid,solid,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032609.jpg
32610,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032610.jpg
32611,Women Tshirts,8,yellow,loose,long,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032611.jpg
32612,Women Tshirts,8,multicolor,regular,regular,default,default,default,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032612.jpg
32613,Women Tshirts,8,default,boxy,long,default,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032613.jpg
32614,Women Tshirts,8,pink,regular,crop,solid,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032614.jpg
32615,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032615.jpg
32616,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032616.jpg
32617,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032617.jpg
32618,Women Tshirts,8,black,boxy,crop,printed,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032618.jpg
32619,Women Tshirts,8,maroon,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032619.jpg
32620,Women Tshirts,8,black,regular,crop,printed,funky print,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032620.jpg
32621,Women Tshirts,8,default,loose,long,solid,solid,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032621.jpg
32622,Women Tshirts,8,default,regular,crop,solid,solid,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032622.jpg
32623,Women Tshirts,8,black,regular,crop,printed,quirky,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032623.jpg
32624,Women Tshirts,8,pink,loose,long,solid,solid,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032624.jpg
32625,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032625.jpg
32626,Women Tshirts,8,pink,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032626.jpg
32627,Women Tshirts,8,black,regular,crop,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032627.jpg
32628,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032628.jpg
32629,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032629.jpg
32630,Women Tshirts,8,pink,regular,crop,solid,solid,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032630.jpg
32631,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032631.jpg
32632,Women Tshirts,8,multicolor,regular,long,solid,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032632.jpg
32633,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032633.jpg
32634,Women Tshirts,8,default,loose,long,printed,typography,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032634.jpg
32635,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032635.jpg
32636,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032636.jpg
32637,Women Tshirts,8,default,regular,regular,solid,solid,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032637.jpg
32638,Women Tshirts,8,maroon,regular,regular,solid,solid,long sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032638.jpg
32639,Women Tshirts,8,pink,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032639.jpg
32640,Women Tshirts,8,default,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032640.jpg
32641,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032641.jpg
32642,Women Tshirts,8,yellow,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032642.jpg
32643,Women Tshirts,8,yellow,boxy,crop,printed,funky print,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032643.jpg
32644,Women Tshirts,8,maroon,loose,long,solid,solid,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032644.jpg
32645,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032645.jpg
32646,Women Tshirts,8,pink,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032646.jpg
32647,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032647.jpg
32648,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032648.jpg
32649,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032649.jpg
32650,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032650.jpg
32651,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032651.jpg
32652,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032652.jpg
32653,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032653.jpg
32654,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032654.jpg
32655,Women Tshirts,8,default,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032655.jpg
32656,Women Tshirts,8,black,boxy,crop,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032656.jpg
32657,Women Tshirts,8,default,boxy,crop,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032657.jpg
32658,Women Tshirts,8,black,loose,long,solid,solid,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032658.jpg
32659,Women Tshirts,8,yellow,regular,regular,solid,solid,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032659.jpg
32660,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032660.jpg
32661,Women Tshirts,8,yellow,loose,long,default,default,short sleeves,regular sleeves,default,no attr,no attr,./../Data/train_images/032661.jpg
32662,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032662.jpg
32663,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032663.jpg
32664,Women Tshirts,8,yellow,regular,crop,solid,solid,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032664.jpg
32665,Women Tshirts,8,default,regular,long,default,default,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032665.jpg
32666,Women Tshirts,8,yellow,regular,crop,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032666.jpg
32667,Women Tshirts,8,default,boxy,crop,printed,graphic,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032667.jpg
32668,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032668.jpg
32669,Women Tshirts,8,multicolor,regular,regular,default,default,long sleeves,cuffed sleeves,default,no attr,no attr,./../Data/train_images/032669.jpg
32670,Women Tshirts,8,black,loose,long,printed,graphic,default,regular sleeves,default,no attr,no attr,./../Data/train_images/032670.jpg
